time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1718025284.9713233,0,1609059013.5613792,-0.016048142037225814,0.00033642027699159723,-0.7641987977030312,-7.082610486400807e-06,-0.0002943452747650891,1.2746330238596842e-05,0.9999999565741112,-2.617213409187761e-05,-0.0002934505997633102,-0.0019395078787989362,0.0,0.0,0.0
1718025285.0640597,1,1609059013.6552362,-0.02138795313881308,0.0005353684177178981,-0.7663347182022233,-0.00019094906505445194,0.0004977436235733285,1.776876238063194e-06,0.99999985789328,-0.03776693832866486,0.0017379328746180136,-0.01620698001591203,0.0,0.0,0.0
1718025285.1734135,2,1609059013.7656472,-0.024628922341286393,-0.002080763675276052,-0.7609187786339451,5.746136646703759e-05,0.0001899008479541273,1.3041690764117104e-05,0.9999999802328852,-0.04821250390810988,-0.029795031088373877,-0.01452392564830098,0.0,0.0,0.0
1718025285.267043,3,1609059013.8603215,-0.00740895426766283,-0.03207737433036513,-0.7275618467486146,-2.0440314817863375e-05,0.000428919440291862,2.49937938069677e-05,0.9999999074928032,-0.01660219015220324,-0.015710482679100014,-0.011058413518310998,0.0,0.0,0.0
1718025285.361892,4,1609059013.9555137,-0.005035503695607095,-0.03219454000628905,-0.7276216557292086,-7.096145154420113e-05,0.00032403651145502697,-1.3768709647642674e-05,0.9999999448876143,0.027184404397377404,-0.009466168101791506,-0.004178091658840535,0.0,0.0,0.0
1718025285.4739006,5,1609059014.0663762,-0.0359078162183807,0.0016842288573835846,-0.6653997498746894,-0.0011645436671005123,0.0005995815213136417,-4.3215026359765437e-05,0.9999991412358848,0.03471297163793831,0.04315103571848469,-0.007730715139274714,0.0,0.0,0.0
1718025285.5671265,6,1609059014.1604142,0.008000331669738351,0.020756914283439752,-0.8152875376559662,-0.0010047849846629706,0.0008485395079852718,1.052073778796664e-05,0.9999991351382014,0.006680377620403771,0.03598947656334544,-0.009804851301967739,0.0,0.0,0.0
1718025285.664481,7,1609059014.2553174,0.003911256508684001,0.01550706043564978,-0.8378323617967955,-8.617129710002766e-05,0.0006652586338232696,-3.271574726995245e-05,0.9999997744675421,0.013997935339773454,0.012010808310102965,-0.005543061407245969,0.0,0.0,0.0
1718025285.7738373,8,1609059014.3661335,-0.026257329705180965,-0.010889209655076774,-0.6932464487767925,-0.0009264528881447211,0.0010357713858793005,1.7971707536981275e-05,0.9999990342693827,0.0061007624486667245,-0.0029600168604217107,-0.008098939043889404,0.0,0.0,0.0
1718025285.8670404,9,1609059014.460222,-0.029771923027354395,-0.009227960753725834,-0.6878042774282016,-0.0009055260834499649,0.0011221920737313304,-2.0765705213188706e-05,0.9999989601375813,0.013980039942905656,0.0020908980931021335,0.002871619608422845,0.0,0.0,0.0
